112下,132401,BEPT30028,,物理治療實證醫學,Evidence-based Practice in Physical Therapy,40,26,T234-YB603[YM],3.00,3.00,李雪楨、王子娟、王瑞瑤、施怡芬、楊雅如、周立偉、陳喬男、李淑貞、蔡美文、游忠煌、黃淑鶴、羅鴻基、林吟亮、黃崇舜、施惠婷、穆佩芬、吳慧敏、陳詠宸、黃安華,選修,(物理治療暨輔助科技學系)
112下,132402,BEPT30047,,視窗程式設計,Windows Programming,40,12,F56-YB603[YM],2.00,2.00,宋文旭,選修,(物理治療暨輔助科技學系)
112下,132417,BEPT30080,,新興領域物理治療,Emerging Physical Therapy Practice,40,7,S34-YB602[YM],2.00,2.00,王子娟、傅士豪、鄭融、湯士萱、陳月霞、陳怡同、阮彥鈞、陳德生、王德維、謝妮芸、李尚澤、林啟平、李君碩,選修,(物理治療暨輔助科技學系)
112下,132422,BEPT30083,,進階嵌入式系統之開發,Development of Advanced Embedded System,30,4,W567-YB424[YM],3.00,3.00,游忠煌,選修,(物理治療暨輔助科技學系)
112下,563129,GEPE00001,,大一體育,Physical Education,不限,30,F12-PhE[YM],0.00,2.00,陳厚諭,必修,(物理治療暨輔助科技學系)
112下,112401,BEBN20043,,數位醫療專題研究(四),Independent Study of Digital Healthcare IV,不限,1,S123-,3.00,3.00,高甫仁,選修,(數位醫療學士學位學程)
112下,112402,BEBN00002,,導師時間,class meeting,不限,1,,0.00,2.00,吳育德,必修,(數位醫療學士學位學程)
112下,112403,BEBN00002,,導師時間,class meeting,不限,1,,0.00,2.00,高甫仁,必修,(數位醫療學士學位學程)
112下,112406,BEBN20006,,創客專題,Maker Space Seminar,不限,3,S1-,1.00,1.00,吳育德,選修,(數位醫療學士學位學程)
112下,112343,BEIR10017,,"普通物理學
英文授課",General Physics,不限,37,W567-YT202[YM],3.00,3.00,高瑀絜、郭文娟、邱爾德,必修,(數位醫療學士學位學程)
112下,112504,LSLS10017,,物理學實驗,Physics Laboratory,不限,41,R234-YE003[YM],1.00,3.00,羅俊民,必修,(數位醫療學士學位學程)
112下,131007,MDBI30060,,量化數據分析,Quantitative data analysis,不限,71,M34-YL401[YM],2.00,2.00,陳卓逸,選修,(數位醫療學士學位學程)
112下,131009,MDBI30077,,抽象思考與演算法,Abstraction and Algorithms,不限,41,W78-YL401[YM],2.00,2.00,巫坤品,必修,(數位醫療學士學位學程)
112下,132402,BEPT30047,,視窗程式設計,Windows Programming,40,12,F56-YB603[YM],2.00,2.00,宋文旭,選修,(數位醫療學士學位學程)
112下,132422,BEPT30083,,進階嵌入式系統之開發,Development of Advanced Embedded System,30,4,W567-YB424[YM],3.00,3.00,游忠煌,選修,(數位醫療學士學位學程)
112下,132514,BEIR10001,,"MATLAB進階程式設計與專題實作
英文授課",MATLAB Advanced Programming Design,不限,22,R78-YT203[YM],2.00,2.00,盧家鋒,必修,(數位醫療學士學位學程)
112下,132600,BEBN20024,,深度學習與生醫應用,Deep learning and biomedical applications,30,18,M789-YL403[YM],3.00,3.00,吳育德,選修,(數位醫療學士學位學程)
112下,132601,BEBN20018,,微奈米製造技術,Micro-nano fabrication technology,50,21,T34-YK533[YM],2.00,2.00,董奕鍾,選修,(數位醫療學士學位學程)
112下,132603,BEBP30025,,生物醫學訊號與影像處理特論,Special Topics on Biomedical Signals and Image Processing,25,13,Wn56-YK436[YM],3.00,3.00,饒啟文,選修,(數位醫療學士學位學程)
112下,132604,BEBN20035,,訊號與系統,Signals and Systems,25,11,W789-YK436[YM],3.00,3.00,賈世璿,必修,(數位醫療學士學位學程)
112下,132605,BEBP30043,,智慧生醫概論,Introduction of Smart Biomedicine,40,28,Wab-YK533[YM],2.00,2.00,郭文娟、吳育德、高甫仁、李美璇、兵岳忻、陳奕帆、賴穎暉、賈世璿、盧家鋒、李超煌、邱爾德、饒啟文,必修,(數位醫療學士學位學程)
112下,132607,BEBN20008,,"基礎光電材料與技術
英文授課",Basic Photonic Materials and Technology,30,7,R56-YK436[YM],2.00,2.00,高甫仁,選修,(數位醫療學士學位學程)
112下,132608,BEBN20038,,電路分析、儀表與量測,"Electronic circuit analysis, instrumentation and measurement",25,11,F234-YK436[YM],3.00,3.00,陳奕帆,選修,(數位醫療學士學位學程)
112下,132609,BEBN20021,,"應用雷射與非線性光學
英文授課",Introduction to laser and nonlinear optics,20,5,F567-YK602-A1[Y,3.00,3.00,賈世璿、郭文娟、詹明哲,選修,(數位醫療學士學位學程)
112下,132610,BEBN20028,,"生醫感測與微奈米操控科技
英文授課",Biosensing and micro-/nanomanipulation technology,30,7,F567-YK436[YM],3.00,3.00,陳奕帆,選修,(數位醫療學士學位學程)
112下,132612,BEBN20037,,"電磁學
英文授課",Electromagnetics,不限,6,T9ab-YK436[YM],3.00,3.00,陳浩夫,選修,(數位醫療學士學位學程)
112下,132613,BEBP30046,,癌症生物學及腫瘤模型工程,Cancer Biology and Tumor Model Engineering,30,3,T34-YK436[YM],2.00,2.00,蘇佳沂、林士敏,選修,(數位醫療學士學位學程)
112下,132614,BEBP30013,,"奈米化學
英文授課",Nano chemistry,不限,4,T567-YK436[YM],3.00,3.00,薛特,選修,(數位醫療學士學位學程)
112下,132616,BEBP30048,,生理及病理學,Physiology and Pathology,30,14,T567-YK101[YM],3.00,3.00,蘇佳沂、劉子洋,選修,(數位醫療學士學位學程)
112下,133005,LSGS30017,,"生物統計學
英文授課",Introduction to Biostatistics,不限,38,T78-YT202[YM],2.00,2.00,可文亞,必修,(數位醫療學士學位學程)
112下,112000,BEBL20019,,臨床生理學,Clinical Physiology,不限,36,F56-YB102[YM],2.00,2.00,常敏之、黃金洲、黃志賢、邱宏仁、潘聖衛、林伯剛、賴冠霖、陸治雯、余晟豪、丁冠中、彭康政,必修,(醫學生物技術暨檢驗學系)
112下,112001,BEBL20004,,"專題討論(A班)
英文授課",Seminar,不限,20,M56-YT301[YM],1.00,2.00,涂玉青、阮琪昌、楊翠青、張懿欣、黃琤、呂世正、龔思豪、黃智生、嚴錦城、陳奕帆、黃尉倫、蘇美慈、洪小雅、蔡雨寰,必修,(醫學生物技術暨檢驗學系)
112下,112002,BEBL20013,,生物技術於醫學之應用,Biotechnology in Medicine,不限,39,T56-YT202[YM],2.00,2.00,吳韋訥、楊翠青、張懿欣、涂玉青、黃琤、蔡有光、呂世正、龔思豪、黃尉倫、蔡雨寰、蘇溶真、賴建勳,必修,(醫學生物技術暨檢驗學系)
112下,112003,BEBL10042,,研究論文,Bachelor thesis,不限,37,U1-,2.00,2.00,黃智生,必修,(醫學生物技術暨檢驗學系)
112下,112004,BEBL20005,,"專題討論(B班)
英文授課",Seminar,不限,17,F34-YB102[YM],1.00,2.00,黃尉倫、楊翠青、張懿欣、涂玉青、黃琤、呂世正、龔思豪、黃智生、嚴錦城、張原翊、高正彥、蘇美慈、洪小雅、蔡雨寰,必修,(醫學生物技術暨檢驗學系)
112下,112005,BEBL10044,,大三導師時間,Class Meeting,不限,34,Wn9-,0.00,2.00,黃智生、吳韋訥,必修,(醫學生物技術暨檢驗學系)
112下,112006,BEBL20030,,"臨床微生物實驗
英文授課",Clinical Microbiology Laboratory,不限,35,W56R3-YB229[YM],1.00,3.00,吳韋訥、楊翠青、龔思豪、洪小雅、李詩益、鄭惠文,必修,(醫學生物技術暨檢驗學系)
112下,112007,BEBL10045,,大四導師時間,Class Meeting,不限,37,W9-,0.00,2.00,黃尉倫、涂玉青、龔思豪,必修,(醫學生物技術暨檢驗學系)
112下,112008,BEBL20031,,臨床病毒學,Clinical Virology,不限,36,T78-YT304[YM],1.00,2.00,龔思豪,必修,(醫學生物技術暨檢驗學系)
112下,112009,BEBL20022,,"臨床生化學實驗
英文授課",Clinical Biochemistry Lab.,不限,35,M567-YB229[YM],1.00,3.00,黃琤、張懿欣、黃尉倫、李麗花、楊舜鈞,必修,(醫學生物技術暨檢驗學系)
112下,112010,BEBL20025,,臨床血清免疫學,Clinical Serology & Immunology,不限,34,T34-YT103[YM],2.00,2.00,孫光蕙、涂玉青、呂世正、黃智生、蘇美慈、蔡長祐、余家利,必修,(醫學生物技術暨檢驗學系)
112下,112011,BEBL20024,,臨床細菌學,Clinical Bacteriology,不限,37,R78-YB101[YM],2.00,2.00,吳韋訥、楊翠青、郭富美,必修,(醫學生物技術暨檢驗學系)
112下,112012,BEBL10049,,臨床生化學,Clinical Biochemistry,不限,35,M34-YB101[YM],2.00,2.00,黃琤、張懿欣、黃尉倫,必修,(醫學生物技術暨檢驗學系)
112下,112014,BEBL10001,,分子生物學,Molecular Biology,不限,43,T34-YT305[YM],2.00,2.00,吳韋訥、黃琤、龔思豪、黃尉倫,必修,(醫學生物技術暨檢驗學系)
112下,112016,BEBL10026,,臨床鏡檢學實驗,Introduction to Clinical Microscopy Lab.,不限,44,T567-YB229[YM],1.00,3.00,黃智生、黃尉倫、蘇美慈、黃憲堂、曾文琴、蔡慧思,必修,(醫學生物技術暨檢驗學系)
112下,112017,BEBL10021,,細胞生物學,Cell Biology,不限,40,M56-YT202[YM],1.00,1.00,黃尉倫、黃琤、呂世正、龔思豪,必修,(醫學生物技術暨檢驗學系)
112下,112018,BEBL10025,,臨床鏡檢學,Introduction to Clinical Microscopy,不限,44,T56-YT104[YM],1.00,1.00,黃智生、孫光蕙、呂世正、黃尉倫、洪加政、曾文琴、蔡慧思,必修,(醫學生物技術暨檢驗學系)
112下,112019,BEBL10041,,美麗人生(下),How to Make Your Life Beautiful (II),不限,40,W34-YT304[YM],1.00,2.00,孫光蕙、黃琤、洪小雅,必修,(醫學生物技術暨檢驗學系)
112下,112020,BEBL10040,,"精彩人生 (下)
基礎服務學習",How to make your life splendid,不限,38,W34-YB102[YM],1.00,2.00,楊翠青、張懿欣、蘇美慈,必修,(醫學生物技術暨檢驗學系)
112下,112021,BEBL20009,,毒物化學,Toxicology,不限,26,T56-YT304[YM],2.00,2.00,鄒瀚興、魏國晋、黃登福、劉宗榮、郭憲文、毛彥喬、劉秀娟、吳明玲、吳佳芬,選修,(醫學生物技術暨檢驗學系)
112下,112022,BEBL10022,,組織學,Histology,不限,51,M34-YT304[YM],2.00,2.00,葉添順、傅毓秀、鄭瓊娟、李學德、王先逸、郭曉縈、蔣偉程,必修,(醫學生物技術暨檢驗學系)
112下,112013,BEBL10015,,生理學,Physiology,158,145,W12R34-YX406[YM],4.00,4.00,阮琪昌、吳鈺琳、黃娟娟、李怡萱、林惠菁、張原翊、簡千栩、吳莉玲、唐德成,必修,(醫學生物技術暨檢驗學系)
112下,112015,BEBL10016,,生理學實驗,Physiology Lab.,126,119,W5678-YED214[YM],1.00,3.00,李怡萱、吳鈺琳、阮琪昌、林惠菁、張原翊、簡千栩、吳莉玲、唐德成,必修,(醫學生物技術暨檢驗學系)
112下,112343,BEIR10017,,"普通物理學
英文授課",General Physics,不限,37,W567-YT202[YM],3.00,3.00,高瑀絜、郭文娟、邱爾德,選修,(醫學生物技術暨檢驗學系)
112下,112901,MDDC10008,,有機化學,Organic Chemistry,不限,96,M12F1-YX406[YM],3.00,3.00,蔡有光、王毓瑄、林照雄、廖韋晴,必修,(醫學生物技術暨檢驗學系)
112下,112902,MDDC10001,,分析化學,Analytical Chemistry,不限,46,T56-YX501[YM],2.00,2.00,曾炳輝、黃介嶸、蔡有光、張崇德,必修,(醫學生物技術暨檢驗學系)
112下,112905,MDDC10010,,有機化學實驗,Organic Chemistry Laboratory,不限,42,W5678-YED309[YM],1.00,4.00,蔡有光、王毓瑄、姜為中、徐子涵,必修,(醫學生物技術暨檢驗學系)
112下,113402,MDDA10011,,細胞診斷學,Diagnostic Cytology,38,36,R5-YT305[YM],1.00,1.00,李芬瑤、郭盈汝、杭仁釩、賴瓊如、林士傑,必修,(醫學生物技術暨檢驗學系)
112下,113503,MDDH10009,,統計學,Statistics,不限,52,M56-YT305[YM],2.00,2.00,林明薇,選修,(醫學生物技術暨檢驗學系)
112下,113505,MDDH10005,,流行病學,Epidemiology,不限,25,F34-YT302[YM],1.00,1.00,陳信任、東雅惠,選修,(醫學生物技術暨檢驗學系)
112下,130105,MDPA30033,,藥理學,Pharmacology,不限,44,W56R5678-YX406[YM],3.00,3.00,張婷婷、黃金洲、李新城、霍德義、張世霖、黃自強、兵岳忻、嚴錦城、王湘翠、洪舜郁、鄭宏志、呂至剛、沈郁強、張豫立、王笙帆、周士傑、葉翰宜、蔣智宏,選修,(醫學生物技術暨檢驗學系)
112下,130108,MDPA30037,,"藥理學概論
英文授課",Introduction of Pharmacology,不限,19,M78-YL402[YM],1.00,1.00,林滿玉、霍德義、林惠菁、黃自強、王湘翠、姜紹青、東雅惠、陳謄州、陳肇文,選修,(醫學生物技術暨檢驗學系)
112下,130401,MDAC30016,,組織學實驗,Histology Laboratory,60,58,F234-YED109[YM],1.00,3.00,葉添順、傅毓秀、鄭瓊娟、李學德、王先逸、郭曉縈、蔣偉程,必修,(醫學生物技術暨檢驗學系)
112下,130820,MDEO30077,,醫學昆蟲與病媒防制,Medical Entomology and Vector Control,20,20,R78-YT303[YM],2.00,2.00,王正雄,選修,(醫學生物技術暨檢驗學系)
112下,131008,MDBI30078,,資料科學基礎,Fundamentals of Data Science,不限,53,M78-YL401[YM],2.00,2.00,陳卓逸,必修,(醫學生物技術暨檢驗學系)
112下,132200,BEBL30015,,生技醫藥產業,Biotechnology in Biomedical Industry,不限,43,T34-YB101[YM],2.00,2.00,黃琤、洪小雅、王世仁、高純琇、紀威光、莊士賢、李應宣、林瓊、賴瓊雅、陳菀芬、蔡佳哲、柯景懷、蔡士昌、吳舜祺、楊哲權、朱博謙、張書銘、邱肇誠、俞宛妮、陳廷碩,選修,(醫學生物技術暨檢驗學系)
112下,132201,BEBL30027,,醫學分子檢驗學,Molecular Diagnosis in Medicine,不限,38,W78-YT104[YM],2.00,2.00,黃智生、吳韋訥、孫光蕙、涂玉青、呂世正、龔思豪、洪舜郁、吳俊忠、游雅言、何祥齡、洪加政,必修,(醫學生物技術暨檢驗學系)
112下,132202,BEBL30030,,體細胞治療產品之品質與法規,Rule and Regulation of Cell Therapy,不限,19,R34-YB102[YM],2.00,2.00,姚道禮,選修,(醫學生物技術暨檢驗學系)
112下,132204,BEBL20043,,醫學檢驗法規與品質管理(I),Regulations and Quality management in Medical Laboratory Sciences(I),不限,39,W78-YB101[YM],1.00,1.00,洪小雅、龔思豪、楊雅倩、高照村、何祥齡、陳瀅如、劉凱中,必修,(醫學生物技術暨檢驗學系)
112下,132205,BEBL20044,,醫學檢驗法規與品質管理(II),Regulations and Quality management in Medical Laboratory Sciences (II),不限,40,F78-YT202[YM],1.00,1.00,洪小雅、王世仁、李子偉、陳呈堯、李湘琳,必修,(醫學生物技術暨檢驗學系)
112下,132210,BEBL30034,,"新陳代謝、癌症與醣化修飾作用
英文授課","Global health challenges: Metabolic abnormalities, cancer &amp; glycosylation alteration",不限,8,W34-YB101[YM],1.00,2.00,涂玉青、張懿欣、黃尉倫,選修,(醫學生物技術暨檢驗學系)
112下,132212,BEBL30042,,人工輔助生殖技術講座,Assisted Reproductive Technology (ART),50,34,F56-YB101[YM],2.00,2.00,武國璋、宋麗英、宋永魁、曾啟瑞、劉嘉燿、張芳維、曹智惟、宋柏儀、柯秋松、黃莊彥、李俊逸,選修,(醫學生物技術暨檢驗學系)
112下,140400,MDTM30001,,"中草藥文獻分析與導讀
英文授課",Analysis and Reading guidance of herbal medicine-based papers,14,14,M56-YR103[YM],2.00,2.00,林東毅,選修,(醫學生物技術暨檢驗學系)
112下,140406,MDTM30029,,蛋白質降解特論-中草藥於癌症治療的應用,Special Topic on Protein Degradation-The applications of Chinese herbal medicine on cancer therapy,不限,9,M78-YR104[YM],1.00,1.00,林東毅,選修,(醫學生物技術暨檢驗學系)
112下,162011,GELW00014,,"應用英文
英文授課",Advancing English,35,19,T12-YT103[YM],2.00,2.00,邱剛彥,必修,(醫學生物技術暨檢驗學系)
112下,563127,GEPE00001,,大一體育,Physical Education,不限,37,T78-PhE[YM],0.00,2.00,陳厚諭,必修,(醫學生物技術暨檢驗學系)
112下,112100,BEBE10007,,普通物理學(二),General Physics(II),不限,33,R678-YT304[YM],3.00,3.00,李泉,必修,BME(生物醫學工程學系)
112下,112101,BEBE10010,,有機化學實驗,Laboratory in Organic Chemistry,不限,27,F234-YED309[YM],1.00,3.00,駱俊良,必修,BME(生物醫學工程學系)
112下,112102,BEBE10009,,有機化學,Organic Chemistry,不限,25,Tn56-YT303[YM],3.00,3.00,駱俊良,必修,BME(生物醫學工程學系)
112下,112103,BEBE10011,,程式語言,Programming Language,不限,30,T234-YT303[YM],3.00,3.00,陳右穎,必修,BME(生物醫學工程學系)
112下,112104,BEBE10004,,微積分(二),Calculus Ⅱ,不限,32,M234-YT305[YM],3.00,3.00,謝忠村,必修,BME(生物醫學工程學系)
112下,112105,BEBE00004,,"斜槓人生(二)
基礎服務學習",Career Development and Preparation II,不限,10,W34-YT103[YM],1.00,2.00,羅俊民,必修,BME(生物醫學工程學系)
112下,112106,BEBE00006,,斜槓人生(四),Career Development and Preparation IV,不限,10,W34-YT203[YM],1.00,2.00,劉承揚,必修,BME(生物醫學工程學系)
112下,112107,BEBE20011,,工程數學(二),Engineering Mathematics II,不限,33,F567-YT104[YM],3.00,3.00,江明彰,必修,BME(生物醫學工程學系)
112下,112108,BEBE20055,,電路學,Electric Circuits,不限,37,M567-YT303[YM],3.00,3.00,陳右穎,必修,BME(生物醫學工程學系)
112下,112109,BEBE20056,,電路學實驗,Electric Circuits Lab.,不限,31,T789-YE003[YM],1.00,3.00,陳右穎,必修,BME(生物醫學工程學系)
112下,112110,BEBE20019,,材料科學導論,Introduction to Materials Science,不限,33,M234-YT303[YM],3.00,3.00,劉大中,必修,BME(生物醫學工程學系)
112下,112111,BEBE20034,,"科技論文導讀
英文授課",Directed Reading: Science and Technology,不限,30,M89-YEA200[YM],2.00,2.00,羅俊民,必修,BME(生物醫學工程學系)
112下,112112,BEBE20018,,材料力學,Mechanics of Materials,不限,13,W567-YT304[YM],3.00,3.00,林峻立,選修,BME(生物醫學工程學系)
112下,112113,BEBE20020,,"機動學
英文授課",Design of Machinery,不限,5,R234-YT303[YM],3.00,3.00,李泉,選修,BME(生物醫學工程學系)
112下,112114,BEBE20004,,反應動力學,Reaction Engineering,不限,19,W89a-YEA200[YM],3.00,3.00,楊明偉,選修,BME(生物醫學工程學系)
112下,112115,BEBE20039,,臨床工程實務,Workshop in Clinical Engineering,不限,27,T567-YT204[YM],1.00,3.00,羅俊民、林重榮、張誌剛、林伯剛、郭昭宏、鄭銘輝、劉馨惠、吳思賢、游偉光、蔡依霖、張美玲、鄭淑娟,必修,BME(生物醫學工程學系)
112下,112116,BEBE20005,,專題研究(一),Independent Study I,不限,5,Tn-YEA200[YM],1.00,1.00,醫工系、朱唯勤、駱俊良、李泉,必修,BME(生物醫學工程學系)
112下,112117,BEBE20007,,專題研究(二),Independent Study II,不限,19,Mn-YEA200[YM],1.00,1.00,醫工系、江惠華、詹家泰、劉澤英、陳右穎、江明彰、賴穎暉、劉大中、蕭慶華、張智銘、李卓穎,選修,BME(生物醫學工程學系)
112下,112118,BEBE20008,,專題研究(四),Independent StudyⅣ,不限,11,Wn-YEA200[YM],1.00,1.00,醫工系、江惠華、詹家泰、陳右穎、江明彰、劉大中、蕭慶華、張智銘、李卓穎,選修,BME(生物醫學工程學系)
112下,112119,BEBE20049,,電子學(二),Electronics Ⅱ,不限,13,T234-YT203[YM],3.00,3.00,賴穎暉,選修,BME(生物醫學工程學系)
112下,112120,BEBE20051,,電子學實驗(二),Electronics Lab. Ⅱ,不限,2,F234-YE003[YM],1.00,3.00,賴穎暉,選修,BME(生物醫學工程學系)
112下,112123,BEBE20038,,臨床醫學概論,Introduction to Clinical Medicine,不限,15,M567-YT304[YM],3.00,3.00,江明彰,選修,BME(生物醫學工程學系)
112下,112125,BEBE00004,,"斜槓人生(二)
基礎服務學習",Career Development and Preparation II,不限,7,W34-YT103[YM],1.00,2.00,江明彰,必修,BME(生物醫學工程學系)
112下,112126,BEBE00004,,"斜槓人生(二)
基礎服務學習",Career Development and Preparation II,不限,7,W34-YT103[YM],1.00,2.00,李泉,必修,BME(生物醫學工程學系)
112下,112127,BEBE00006,,斜槓人生(四),Career Development and Preparation IV,不限,10,W34-YT203[YM],1.00,2.00,駱俊良,必修,BME(生物醫學工程學系)
112下,112128,BEBE00006,,斜槓人生(四),Career Development and Preparation IV,不限,9,W34-YT203[YM],1.00,2.00,劉大中,必修,BME(生物醫學工程學系)
112下,112129,BEBE10014,,大三導師時間,Tutor time,不限,28,Sab-,0.00,2.00,江惠華、陳右穎、賴穎暉,必修,BME(生物醫學工程學系)
112下,112130,BEBE10015,,大四導師時間,Tutor time,不限,36,Uab-,0.00,2.00,劉澤英、詹家泰,必修,BME(生物醫學工程學系)
112下,112131,BEBE10008,,普通物理學實驗,General Physics Laboratory,不限,23,M567-YE003[YM],1.00,3.00,李卓穎、陳星宇,必修,BME(生物醫學工程學系)
112下,112132,BEBE20042,,訊號與系統,Signals and Systems,23,23,W567-YEA300[YM],3.00,3.00,朱唯勤,選修,BME(生物醫學工程學系)
112下,112903,MDDC10013,,生物化學概論,Introduction to Biochemistry,不限,87,"T56-CS100[GF],T56-YT305[YM]",2.00,2.00,郭津岑、陳威儀、張崇德,選修,BME(生物醫學工程學系)
112下,113504,MDDH10008,,生物統計學,Biostatistics,不限,26,F567-YX503[YM],3.00,3.00,陳瓊梅,必修,BME(生物醫學工程學系)
112下,132301,BEBE20036,,組織工程與再生醫學,Tissue Engineering and Regenerative Medicine,不限,35,F234-YEA200[YM],3.00,3.00,趙遠宏,選修,BME(生物醫學工程學系)
112下,132302,BEBE30008,,"工程統計
英文授課",Engineering Statistics,不限,6,T234-YT301[YM],3.00,3.00,李泉,選修,BME(生物醫學工程學系)
112下,132303,BEBE20059,,"電漿技術在生物醫學之應用
英文授課",Plasma technologies for biomedical applications,不限,10,T567-YEA301[YM],3.00,3.00,謝章興,選修,BME(生物醫學工程學系)
112下,132304,BEBE20053,,電腦輔助工程分析,Computer Aided Engineering,21,23,R234-YEA300[YM],3.00,3.00,林峻立,選修,BME(生物醫學工程學系)
112下,132305,BEBE20014,,數值分析,Numerical Method,不限,12,W234-YEA200[YM],3.00,3.00,鄔蜀威,選修,BME(生物醫學工程學系)
112下,132306,BEBE20046,,"醫學雷射
英文授課",Laser Medicine,不限,17,F567-YEA205[YM],3.00,3.00,劉承揚,選修,BME(生物醫學工程學系)
112下,132307,BEBE20015,,智慧財產權,Intellectual Property,不限,19,M34-YEA200[YM],2.00,2.00,王世仁,選修,BME(生物醫學工程學系)
112下,132309,BEBE30007,,奈米生醫工程,Nanotechnology & Biomedical Engineering,不限,10,M89a-YEA205[YM],3.00,3.00,劉澤英,選修,BME(生物醫學工程學系)
112下,132311,BEBE30036,,醫療器材上市法規實作,Practical Skills of the Regulatory Requirements of Medical Devices,45,27,W89a-YB102[YM],3.00,3.00,楊世偉、鄭玉珮、郭俊毅、徐文達、呂玉蓉、范文佳、謝芝蕙、薛仁瑋、詹明宜、鄭穎隆,必修,BME(生物醫學工程學系)
112下,132315,BEBE20061,,醫工創新與臨床實踐,Biomedical Engineering Innovation and Clinical Practice,10,10,T89a-YEA301[YM],3.00,3.00,劉澤英、陳敏弘、林恆甫、賴彥君、郭義松、梁晃千、廖建忠、張智銘,選修,BME(生物醫學工程學系)
112下,563131,GEPE00001,,大一體育,Physical Education,不限,24,T78-PhE[YM],0.00,2.00,魏豐閔,必修,BME(生物醫學工程學系)
112下,112500,LSLS10025,,生命科學總論(下),"General Biology, 2nd semester",不限,52,T56-YK533[YM],2.00,2.00,李曉暉、羅清維、張欣暘、藍昇輝,必修,(生命科學系暨基因體科學研究所)
112下,112501,LSLS10002,,化學原理(二),Principles of Chemistry II,不限,79,W56-YX216[YM],2.00,2.00,許世宜,必修,(生命科學系暨基因體科學研究所)
112下,112502,LSLS10009,,微積分(二),Calculus II,不限,54,T34-YX406[YM],2.00,2.00,王禹超,必修,(生命科學系暨基因體科學研究所)
112下,112503,LSLS10035,,遺傳學原理的實作與應用,Laboratory in Fundamental Genetics and its Applications,不限,48,F5678-YED109[YM],2.00,4.00,陳嘉霖、陳虹如、楊念中,必修,(生命科學系暨基因體科學研究所)
112下,112504,LSLS10017,,物理學實驗,Physics Laboratory,不限,41,R234-YE003[YM],1.00,3.00,羅俊民,必修,(生命科學系暨基因體科學研究所)
112下,112506,LSGS30013,,生理學,Physiology,不限,27,R234-YX503[YM],3.00,3.00,陳燕彰、陳虹如、陳儀聰,必修,(生命科學系暨基因體科學研究所)
112下,112507,LSLS10039,,"生涯發展與學習(一下)-基礎服務學習
基礎服務學習","Career Development and PreparationⅠ, 2nd Semester - Foundational Service Learning",不限,8,W34-YL402[YM],1.00,2.00,陳儀聰,必修,(生命科學系暨基因體科學研究所)
112下,112508,LSLS10039,,"生涯發展與學習(一下)-基礎服務學習
基礎服務學習","Career Development and PreparationⅠ, 2nd Semester - Foundational Service Learning",不限,7,W34-YL402[YM],1.00,2.00,孫維欣,必修,(生命科學系暨基因體科學研究所)
112下,112509,LSLS10039,,"生涯發展與學習(一下)-基礎服務學習
基礎服務學習","Career Development and PreparationⅠ, 2nd Semester - Foundational Service Learning",不限,8,W34-YL402[YM],1.00,2.00,藍昇輝,必修,(生命科學系暨基因體科學研究所)
112下,112510,LSLS10039,,"生涯發展與學習(一下)-基礎服務學習
基礎服務學習","Career Development and PreparationⅠ, 2nd Semester - Foundational Service Learning",不限,7,W34-YL402[YM],1.00,2.00,林崇智,必修,(生命科學系暨基因體科學研究所)
112下,112511,LSLS10039,,"生涯發展與學習(一下)-基礎服務學習
基礎服務學習","Career Development and PreparationⅠ, 2nd Semester - Foundational Service Learning",不限,7,W34-YL402[YM],1.00,2.00,翁雨蕙,必修,(生命科學系暨基因體科學研究所)
112下,112512,LSLS00006,,生涯發展與學習(二下),"Career Development and Preparation Ⅱ, 2nd Semester",不限,7,W34-YK101[YM],1.00,2.00,俞震亞,必修,(生命科學系暨基因體科學研究所)
112下,112513,LSLS00006,,生涯發展與學習(二下),"Career Development and Preparation Ⅱ, 2nd Semester",不限,8,W34-YK101[YM],1.00,2.00,陳虹如,必修,(生命科學系暨基因體科學研究所)
112下,112514,LSLS00006,,生涯發展與學習(二下),"Career Development and Preparation Ⅱ, 2nd Semester",不限,8,W34-YK101[YM],1.00,2.00,陳嘉霖,必修,(生命科學系暨基因體科學研究所)
112下,112515,LSLS00006,,生涯發展與學習(二下),"Career Development and Preparation Ⅱ, 2nd Semester",不限,7,W34-YK101[YM],1.00,2.00,陳紀如,必修,(生命科學系暨基因體科學研究所)
112下,112516,LSLS00006,,生涯發展與學習(二下),"Career Development and Preparation Ⅱ, 2nd Semester",不限,7,W34-YK101[YM],1.00,2.00,賈世璿,必修,(生命科學系暨基因體科學研究所)
112下,112517,LSLS20046,,"生醫研究特論
英文授課",Current topics in biomedical research,不限,5,M56-YK104[YM],1.00,1.00,陳儀聰、李曉暉,選修,(生命科學系暨基因體科學研究所)
112下,112518,LSLS10038,,"有機化學 英語版
英文授課",Organic Chemistry in English,不限,2,T789-YK100[YM],3.00,3.00,林照雄,選修,(生命科學系暨基因體科學研究所)
112下,112519,LSLS20048,,藥物化學概論,An introduction to medicinal chemistry,不限,11,M78-YK436[YM],2.00,2.00,李曉暉、許世宜、張欣暘,選修,(生命科學系暨基因體科學研究所)
112下,112520,LSLS10037,,微生物體學概論,Introductory Microbiome,40,11,R78-YK101[YM],2.00,2.00,蘇金源,選修,(生命科學系暨基因體科學研究所)
